timestamp_ms,timestamp_iso,source,id,cardinality,address,rssi,x,y,z,notes
1780389432452,"2026-06-02T10:37:12.452+0200","beacon","","-1","34:86:51:2D:8E:DD","-83","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:0109202262E579F1AA357BF6D4B1412F1DE5F7A5F52AE82007C4E6; adv=1EFF06000109202262E579F1AA357BF6D4B1412F1DE5F7A5F52AE82007C4E600000000000000000000000000000000000000000000000000000000000000"
1780389432498,"2026-06-02T10:37:12.498+0200","beacon","","-1","7F:1D:68:57:25:C6","-93","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:010920029C403FD8BA4339121102CEC897DEBC9F113380B361241C; adv=1EFF0600010920029C403FD8BA4339121102CEC897DEBC9F113380B361241C00000000000000000000000000000000000000000000000000000000000000"
1780389432504,"2026-06-02T10:37:12.504+0200","beacon","","-1","7B:2B:6E:C5:00:99","-92","","","","protocol=; name=; serviceData=; manufacturerData=0x004C:1007361F0295F3D3680100000000000000000000000080000000; adv=02011A020A0C0CFF4C001007361F0295F3D36814FF4C00010000000000000000000000008000000000000000000000000000000000000000000000000000"
1780389432558,"2026-06-02T10:37:12.558+0200","beacon","","-1","73:C6:FC:94:26:F4","-92","","","","protocol=; name=; serviceData=; manufacturerData=0x004C:10064F1DB98FD478; adv=02011A020A0C0BFF4C0010064F1DB98FD4780000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
1780389432585,"2026-06-02T10:37:12.585+0200","beacon","","-1","52:83:43:B9:0C:60","-96","","","","protocol=; name=; serviceData=; manufacturerData=0x004C:0C0E00E39776647EE69B499AD9DD677010064A1D2479C508; adv=02011A1BFF4C000C0E00E39776647EE69B499AD9DD677010064A1D2479C50800000000000000000000000000000000000000000000000000000000000000"
1780389432589,"2026-06-02T10:37:12.589+0200","beacon","","-1","45:B0:25:3B:40:93","-92","","","","protocol=; name=; serviceData=; manufacturerData=0x004C:0908134DAC1642541B58160800C262862DBB65CF; adv=02011A17FF4C000908134DAC1642541B58160800C262862DBB65CF0000000000000000000000000000000000000000000000000000000000000000000000"
1780389432593,"2026-06-02T10:37:12.593+0200","beacon","","-1","13:40:24:C2:09:AF","-99","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:010920228C90337CBDD5F4C632644F0F52FB8C8DEC483CD7C36906; adv=1EFF0600010920228C90337CBDD5F4C632644F0F52FB8C8DEC483CD7C3690600000000000000000000000000000000000000000000000000000000000000"
1780389432595,"2026-06-02T10:37:12.595+0200","beacon","","-1","24:5E:6D:95:51:C6","-91","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:01092022E7F8F5E98F207D9A1A3286498A7F9B63A4E19BC02192D2; adv=1EFF060001092022E7F8F5E98F207D9A1A3286498A7F9B63A4E19BC02192D200000000000000000000000000000000000000000000000000000000000000"
1780389432606,"2026-06-02T10:37:12.606+0200","beacon","","-1","69:61:4C:D4:F7:A1","-94","","","","protocol=; name=; serviceData=; manufacturerData=0x004C:1005009852249D; adv=02011A0AFF4C001005009852249D020A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
1780389432639,"2026-06-02T10:37:12.639+0200","beacon","","-1","12:4C:16:8F:DB:13","-84","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:0109202276322E5C199F0DFBF022E1470DE649807DDB4C7C4039E3; adv=1EFF06000109202276322E5C199F0DFBF022E1470DE649807DDB4C7C4039E300000000000000000000000000000000000000000000000000000000000000"
1780389432649,"2026-06-02T10:37:12.649+0200","beacon","","-1","4F:6C:E2:AE:77:E2","-95","","","","protocol=; name=; serviceData=; manufacturerData=0x004C:0C0E08B6DD7205C30A6904778AF364091006491D1C4D9828; adv=02011A1BFF4C000C0E08B6DD7205C30A6904778AF364091006491D1C4D982800000000000000000000000000000000000000000000000000000000000000"
1780389432652,"2026-06-02T10:37:12.652+0200","beacon","","-1","25:A9:9C:57:BA:23","-86","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:01092022B4B616D7672E8941F255C6CF507E84B733B8387EC9B38B; adv=1EFF060001092022B4B616D7672E8941F255C6CF507E84B733B8387EC9B38B00000000000000000000000000000000000000000000000000000000000000"
1780389432655,"2026-06-02T10:37:12.655+0200","beacon","","-1","5C:E7:DC:88:51:B1","-63","","","","protocol=; name=; serviceData=; manufacturerData=0x004C:10064F1D1A4BB938; adv=02011A020A0C0BFF4C0010064F1D1A4BB9380000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
1780389432658,"2026-06-02T10:37:12.658+0200","beacon","","-1","4C:C9:96:23:7B:D1","-95","","","","protocol=; name=; serviceData=; manufacturerData=0x004C:09081381AC1642C11B581608002A2AA024098000; adv=02011A17FF4C0009081381AC1642C11B581608002A2AA0240980000000000000000000000000000000000000000000000000000000000000000000000000"
1780389432660,"2026-06-02T10:37:12.660+0200","beacon","","-1","62:5A:4F:AE:89:1D","-63","","","","protocol=; name=; serviceData=; manufacturerData=0x004C:10064F1D1A4BB938; adv=02011A020A0C0BFF4C0010064F1D1A4BB9380000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
1780389432669,"2026-06-02T10:37:12.669+0200","beacon","","-1","34:86:51:2D:8E:DD","-88","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:0109202262E579F1AA357BF6D4B1412F1DE5F7A5F52AE82007C4E6; adv=1EFF06000109202262E579F1AA357BF6D4B1412F1DE5F7A5F52AE82007C4E600000000000000000000000000000000000000000000000000000000000000"
1780389432691,"2026-06-02T10:37:12.691+0200","beacon","","-1","49:D8:BB:71:C3:20","-98","","","","protocol=; name=; serviceData=; manufacturerData=0x004C:1006461DBA575458; adv=02011A020A0C0BFF4C001006461DBA5754580000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
1780389432698,"2026-06-02T10:37:12.698+0200","beacon","","-1","13:40:24:C2:09:AF","-92","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:010920228C90337CBDD5F4C632644F0F52FB8C8DEC483CD7C36906; adv=1EFF0600010920228C90337CBDD5F4C632644F0F52FB8C8DEC483CD7C3690600000000000000000000000000000000000000000000000000000000000000"
1780389432701,"2026-06-02T10:37:12.701+0200","beacon","","-1","24:5E:6D:95:51:C6","-101","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:01092022E7F8F5E98F207D9A1A3286498A7F9B63A4E19BC02192D2; adv=1EFF060001092022E7F8F5E98F207D9A1A3286498A7F9B63A4E19BC02192D200000000000000000000000000000000000000000000000000000000000000"
